uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mcmwsf7uec2o,bafyreidvjda6ttchk42k6liix4tpp75sqznm6qsqfc7ooicqytm3ipennm,"É hoje que vou levar block e unfollow dos meus seguidores no twitter por causa do @oxemarcelinho e do @BBB
 kkkkkkkkkkkkkkkkkkkkkkk 

 #TeamMarcelinho #TeamMarcelo #MarcelinhoNoBBB #BBB26 #RedeBBB",2026-01-17T15:34:14.558Z,0,0,0,2026-01-17T15:34:15.237Z,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mc6rnz6zvs26,bafyreid5f6ei3vk2ld7li5pnjydsqkakqipc2rvtyqttfynvqrpvfcziay,"SE realmente a @anapaularenault realmente estiver no #BBB26 espero que ela seja ""amiga de infância"" do @oxemarcelinho, e eles coloquem pra quebrar ali dentro até a final e ganhem esse @BBB 

#TeamMarcelo #TeamMarcelinho #BBB26 #RedeBBB #MaratonaBigDay #PipocaBBB #MarcelinhoNoBBB",2026-01-12T00:25:02.683Z,0,0,0,2026-01-12T00:25:07.040Z,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mc6pzzh46c26,bafyreic5vqzpivp6nf7eaf3rtl7lew352pjbggg3mciv7imgqnsomjeh5e,"#MarcelinhoNoBBB #TeamMarcelo #TeamMarcelinho #BBB26 #RedeBBB #MaratonaBigDay #PipocaBBB

Rafaela ❌
Marcelo ✅
Jordana✅ 
Ricardo  ❌
Gabriela ❌ 
Breno ❌
Samira✅ 
Pedro ✅
Marciele ✅ 
Ricardinho❌

Quem será que está no Camarote??",2026-01-11T23:55:58.106Z,0,0,1,2026-01-11T23:56:06.980Z,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mc6rew3gcc26,bafyreidkpbuupmcxb47suhj6d4bq6vfy5u6fo2xdcyolhh7ff47g65ebbm,"Eu praticamente só votei em todos só 1x, o único que votei várias vezes foi o @oxemarcelinho, mas gostei, não entrou todos que votei, mas o negócio é a partir de amanhã... Ansioso!   mas em partes gostei 
#TeamMarcelo #TeamMarcelinho #BBB26 #RedeBBB #MaratonaBigDay #PipocaBBB #MarcelinhoNoBBB",2026-01-12T00:19:57.429Z,0,0,0,2026-01-12T00:19:58.335Z,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mcbmbkygas23,bafyreibshi4geq74bmmvq754hua7u2qtgght2tshtm6ahnglflypnfn36u,"O @BBB nem começou e já sou #ForaBabu 

#TeamMarcelinho #BBB26 #RedeBBB",2026-01-13T03:26:35.640Z,0,0,0,2026-01-13T03:26:36.036Z,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mc6qqeuovk26,bafyreiapdmziiex7rsj5cjzn4ovettyuythaluq6zejhfgfzaq5bjcukmm,"E aí gostaram do resultado?? 
Eu tava torcendo apenas pelo @oxemarcelinho, os outros tava pelo tanto faz... 
Gostei em partes, e vcs??

#MarcelinhoNoBBB #TeamMarcelo #TeamMarcelinho #BBB26 #RedeBBB #MaratonaBigDay",2026-01-12T00:08:28.293Z,1,0,0,2026-01-12T00:08:28.932Z,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mc6tbkcdkc26,bafyreihejx4e3l754v274axzsnfps2ks6wwjibrou4ffo6576wfaivbdgq, #TeamMarcelinho #BBB26 #RedeBBB #MaratonaBigDay #PipocaBBB #MarcelinhoNoBBB,2026-01-12T00:53:51.893Z,0,0,1,2026-01-12T00:53:53.535Z,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mcn7ebbkyc2o,bafyreibtwulumqetkldajiztxk5itpxv3mxw7nkpgwcfajrkisiwl642d4,"@BrenoCora e @oxemarcelinho se beijando loucamente!

O casal da edição! 

#TeamMarcelinho #TeamBreno #BBB26 #RedeBBB",2026-01-17T18:07:24.334Z,0,0,1,2026-01-17T18:07:25.530Z,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mc3hrtlncc2k,bafyreieoh4sjinkh6xyn2k6hf4mnqgra2go7fh4kl2ezsf6kcdplre42zi,"❤️‍🔥 MUTIRÃO DOUTOR DO POVO ❤️‍🔥
 
🚨 O voto é para ENTRAR NO BBB 26, então votem em MARCELO! 🐦‍🔥

Votem muito!!! 
Link: gshow.globo.com/realities/bb...

 #MarcelinhoNoBBB #TeamMarcelo #TeamMarcelinho #BBB26 #RedeBBB #MaratonaBigDay #CasaDeVidro",2026-01-10T16:50:14.377Z,0,0,0,2026-01-10T16:50:19.231Z,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mcblyyt27c23,bafyreic73nagaymeawbf3vggnqplsqyc6pdmpju7s7gecowyskjp5jothi,"Já quero eles juntos até o fim do @BBB: 

🥇@oxemarcelinho 
🥈@anapaularenault 
🥉@ssarahandrade 

E que quem causar discórdia entre eles saia no primeiro paredão que for 
 
#TeamMarcelinho #BBB26 #RedeBBB",2026-01-13T03:21:48.153Z,0,0,0,2026-01-13T03:21:48.629Z,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mc6rbo6op226,bafyreiabmygf747lnbftwgzp2pwttzdb32dldrrayxuzbm3hjetqvgfni4,De vez enquanto vocês falando de alguém do #BBB e eu sem saber quem é e indo ver de quem vcs tão falando pq só tenho olhos e ouvidos e torcida pro @oxemarcelinho   kkkkkkkkkkkkkkkkkkkkkkkkk #TeamMarcelo #TeamMarcelinho #BBB26 #RedeBBB #MaratonaBigDay #PipocaBBB #MarcelinhoNoBBB,2026-01-12T00:18:08.484Z,0,0,0,2026-01-12T00:18:09.028Z,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mcmwtgkj6c2o,bafyreicocz6ar4zczl7yyq2ishijlqbcm522qsactg5wg4rmhj2lre5kjq,"Meu Deus, nunca fui tão cadela de um participante do 
@BBB como tô sento com o @oxemarcelinho no #BBB26, adoro!! kkkkkkkkkkkkkkkkkkkkkkkkkkkk

#TeamMarcelinho #TeamMarcelo #MarcelinhoNoBBB #BBB26 #RedeBBB",2026-01-17T15:34:49.510Z,0,0,1,2026-01-17T15:34:50.232Z,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mcmwsts3ck2o,bafyreiehilycagg7cuvvdetitgyq6ae2dz4szkqbs7niuk7lc6smb3gy2y,#TeamMarcelinho #TeamMarcelo #MarcelinhoNoBBB #BBB26 #RedeBBB,2026-01-17T15:34:29.829Z,0,0,1,2026-01-17T15:34:32.533Z,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mc36cmtk5s2k,bafyreiakc7y3vmfq7j7hocxnw2tk4ehrjmccnmipylpocnylvy6tjjobhq,"Amanheceu e temos que ter biscoitos no café da manhã kkkkkkkkkk 
Claro que darei RT nos biscoitos do @oxemarcelinho queremos nosso divo de CN no #BBB26 sim

Votem muito!!! gshow.globo.com/realities/bb...

#MarcelinhoNoBBB #TeamMarcelo #TeamMarcelinho #BBB26 #RedeBBB #MaratonaBigDay #CasaDeVidro",2026-01-10T14:00:40.297Z,0,0,0,2026-01-10T14:00:44.335Z,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mc6s56dl2s26,bafyreie54fqvta26pqbrtglfvisxt2rmzbk2vcts6iyqlolnrcwloof6bi,"Fotos oficiais do nosso divo! Prontos para torcerem muito? #BBB26

By @oxemarcelinho 

🔥 #TeamMarcelinho #BBB26 #RedeBBB #MaratonaBigDay #PipocaBBB #MarcelinhoNoBBB",2026-01-12T00:33:31.338Z,0,0,0,2026-01-12T00:34:07.835Z,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mcmweim4bk2o,bafyreidjfhtu6znj43p5kmzkunh5pno7biwsw4d5rywu5ayfn7xelijhem,"Meu casal @oxemarcelinho e @BrenoCora ❤️
Que beijão do CARALEO!!! T 
#TeamMarcelinho #TeamMarcelo #MarcelinhoNoBBB #BBB26 #RedeBBB",2026-01-17T15:26:28.343Z,0,0,1,2026-01-17T15:26:29.833Z,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf
